KR3l0123	博物志-晉-張華
KR4b0001	揚子雲集-漢-揚雄
KR4b0013	昭明太子集-梁-蕭統
KR4b0017	庾開府集箋註-北周-庾信
KR4b0018	庾子山集-北周-庾信
KR4c0003	王子安集-唐-王勃
KR4c0004	盈川集-唐-楊炯
KR4c0005	盧昇之集-唐-盧照鄰
KR4c0006	駱丞集-唐-駱賓王
KR4c0008	陳拾遺集-唐-陳子昂
KR4c0013	李太白集分類補註-唐-李白
KR4c0014	李太白集注-唐-李白
KR4c0015	九家集注杜詩-唐-杜甫
KR4c0017	補注杜詩-唐-杜甫
KR4c0018	集千家註杜工部詩集-唐-杜甫
KR4c0020	杜詩詳註-清-仇兆鰲
KR4c0022	王右丞集箋注-唐-王維
KR4c0030	宗玄集-唐-吳筠
KR4c0044	別本韓文考異-唐-韓愈
KR4c0045	五百家注昌黎文集-唐-韓愈
KR4c0046	東雅堂昌黎集註-唐-韓愈
KR4c0047	韓集點勘-清-陳景雲
KR4c0048	柳河東集-唐-柳宗元
KR4c0049	柳河東集注-唐-柳宗元
KR4c0050	五百家註柳先生集-唐-柳宗元
KR4c0051	劉賓客文集-唐-劉禹錫
KR4c0065	沈下賢集-唐-沈亞之
KR4c0069	白氏長慶集-唐-白居易
KR4c0075	李義山詩集注-唐-李商隱
KR4c0078	溫飛卿詩集箋注-唐-溫庭筠
KR4c0100	桂苑筆耕集-唐-
KR4c0112	廣成集-後蜀-杜光庭
KR4d0001	騎省集-宋-徐鉉
KR4d0024	安陽集-宋-韓琦
KR4d0035	蘇魏公文集-宋-蘇頌
KR4d0039	古靈集-宋-陳襄
KR4d0040	傳家集-宋-司馬光
KR4d0047	都官集-宋-陳舜兪
KR4d0048	丹淵集-宋-文同
KR4d0054	元豐類藁-宋-曾鞏
KR4d0065	周元公集-宋-周敦頤
KR4d0070	樂全集-宋-張方平
KR4d0072	嘉祐集-宋-蘇洵
KR4d0073	臨川文集-宋-王安石
KR4d0074	王荊公詩注-宋-李壁
KR4d0076	東坡全集-宋-蘇軾
KR4d0077	東坡詩集註-宋-蘇軾
KR4d0078	增刊校正王狀元集註分類東坡先生詩-宋-
KR4d0079	經進東坡文集事略-宋-
KR4d0080	施註蘇詩-宋-蘇軾
KR4d0082	欒城集-宋-蘇轍
KR4d0087	後山集-宋-陳師道
KR4d0091	淮海集-宋-秦觀
KR4d0095	石門文字禪-宋-釋惠洪
KR4d0104	景迂生集-宋-晁說之
KR4d0111	潏水集-宋-李復
KR4d0116	樂靜集-宋-李昭玘
KR4d0139	初寮集-宋-王安中
KR4d0150	忠惠集-宋-翟汝文
KR4d0156	北山集-宋-程俱
KR4d0159	華陽集-宋-張綱
KR4d0171	韋齋集-宋-朱松
KR4d0175	雲溪集-宋-郭印
KR4d0178	北海集-宋-綦崇禮
KR4d0216	于湖集-宋-張孝祥
KR4d0219	鄮峰眞隱漫錄-宋-史浩
KR4d0226	晦菴集-宋-朱熹
KR4d0232	東萊集-宋-呂祖謙
KR4d0235	梅溪集-宋-王十朋
KR4d0240	樂軒集-宋-陳藻
KR4d0243	攻媿集-宋-樓鑰
KR4d0245	東塘集-宋-袁說友
KR4d0250	雙溪類槀-宋-王炎
KR4d0252	緣督集-宋-曾耒
KR4d0264	浪語集-宋-薛季宣
KR4d0273	水心集-宋-葉適
KR4d0288	橘山四六-宋-李廷忠
KR4d0290	後樂集-宋-衞涇
KR4d0295	漫塘集-宋-劉宰
KR4d0305	鶴山集-宋-魏了翁
KR4d0306	西山文集-宋-眞德秀
KR4d0323	四六標準-宋-李劉
KR4d0340	後村集-宋-劉克莊
KR4d0353	秋崖集-宋-方岳
KR4d0357	北礀集-宋-釋居簡
KR4d0370	竹溪鬳齋十一藁續集-宋-林希逸
KR4d0374	須溪集-宋-劉辰翁
KR4d0394	四如集-宋-黃仲元
KR4d0401	則堂集-宋-家鉉翁
KR4d0417	滏水集-金-趙秉文
KR4d0419	莊靖集-金-李俊民
KR4d0420	遺山集-金-元好問
KR4d0425	歸田類稿-元-張養浩
KR4d0427	稼村類藁-元-王義山
KR4d0437	水雲村槀-元-劉壎
KR4d0442	竹素山房詩集-元-吾丘衍
KR4d0443	紫山大全集-元-胡祗遹
KR4d0444	松鄉集-元-任士林
KR4d0464	秋澗集-元-王惲
KR4d0465	牧庵集-元-姚燧
KR4d0473	清容居士集-元-袁桷
KR4d0476	申齋集-元-劉岳申
KR4d0493	道園學古錄-元-虞集
KR4d0495	楊仲弘集-元-楊戴
KR4d0505	待制集-元-柳貫
KR4d0508	至正集-元-許有壬
KR4d0523	滋溪文稿-元-蘇天爵
KR4d0532	野處集-元-邵亨貞
KR4d0547	鹿皮子集-元-陳樵
KR4d0569	九靈山房集-元-戴良
KR4d0590	夷白齋稿-元-陳基
KR4e0002	文憲集-明-宋濂
KR4e0004	宋學士文集-明-
KR4e0016	槎翁詩集-明-劉嵩
KR4e0025	胡仲子集-明-胡翰
KR4e0029	高太史大全集-明-
KR4e0036	藍山集-明-藍仁
KR4e0039	大全集-明-高啟
KR4e0041	眉菴集-明-楊基
KR4e0044	鳴盛集-明-林鴻
KR4e0046	草澤狂歌-明-王恭
KR4e0079	易齋集-明-劉璟
KR4e0081	峴泉集-明-張宇初
KR4e0088	頤庵文選-明-胡儼
KR4e0089	青城山人集-明-王燧
KR4e0091	文敏集-明-楊榮
KR4e0106	倪文僖集-明-倪謙
KR4e0109	類博稿-明-岳正
KR4e0116	謙齋文錄-明-徐溥
KR4e0117	椒邱文集-明-何喬新
KR4e0120	懷麓堂集-明-李東陽
KR4e0121	青谿漫稿-明-倪岳
KR4e0125	篁墩文集-明-程敏政
KR4e0130	翠渠摘稿-明-周瑛
KR4e0133	震澤集-明-王鏊
KR4e0135	見素集-明-林俊
KR4e0138	容春堂集-明-邵寶
